City,Country,State,Operational,Latitude,Longitude,Location_Provided,Phase_Code,Phase
Monterrey,Mexico,,2013,25.69,-100.32,1,4,Operation
Quintana Roo,Mexico,,,19.18,-88.48,1,2,Design
Toluca,Mexico,,,19.28,-99.66,1,1,Feasibility
Mexico City,Mexico,,,19.43,-99.13,,,
Aguascaliente,Mexico,,,21.87,-102.3,,,
Chiapas,Mexico,,,16.6,-92.65,,,
Zacatecas,Mexico,,,22.76,-102.59,,,
Sebou River,Morrocco,,,34.036222,-5.53,1,2,Design
Panama City,Panama,,,8.98,-79.516667,0,2,Design
Cuzco,Peru,,,-13.53,-71.97,1,2,Design
Lima,Peru,,2011,-12.05,-77.04,1,4,Operation
Piura,Peru,,,-5.18,-80.65,1,2,Design
Kigali,Rwanda,,,-1.97,30.09,,,
Cape Town,South Africa,,,-33.93,18.42,0,1,Feasibility
Polokwane,South Africa,,,-23.87,29.47,,,
Durban,South Africa,,,-29.82,30.97,,,
Port Elizabeth,South Africa,,,-33.93,25.48,,,
Dar es Salaam,Tanzania,,,-6.83,39.21,,,
Ashland,US,Oregon,2014,42.19,-122.71,1,4,Operation
Bloomington,US,Illinois,,40.48,-88.99,1,2,Design
Brandywine-Christina,US,Delaware & Pennsylvania,,39.71,-75.61,1,2,Design
Iowa-Cedar River,US,Iowa,,41.28,-91.35,0,0,Pre-Feasibility
Sheboygan River,US,Wisconsin,,43.75,-87.70314,0,0,Pre-Feasibility
Denver,US,Colorado,,39.76,-104.88,0,0,Pre-Feasibility
Maine (Lake Sebago),US,Maine,,43.85,-70.57,0,0,Pre-Feasibility
Oklahoma,US,Oklahoma,,35.48,-97.535,0,0,Pre-Feasibility
Phoenix,US,Arizona,,33.44,-112.06,1,2,Design
Truckee River,US,California & Nevada,,39.53,-119.81,1,1,Feasibility
San Antonio,US,Texas,2009,29.42,-98.49,1,4,Operation
Austin,US,Texas,,30.27,-97.74,1,4,Operation
Santa Fe,US,New Mexico,2009,35.69,-105.94,1,4,Operation
Savannah River,US,South Carolina,2016,32.09,-81.03,1,4,Operation
Minnesota Headwaters,US,Minnesota (near Minneapolis),2015,44.98,-93.27,0,4,Operation
Rio Grande Water Fund,US,New Mexico (near Albuquerque),2014,35.11,-106.61,0,4,Operation
Nebraska WFs,US,Nebraska,,41.79,-99.78,0,0,Pre-Feasibility
Kansas City WF,US,Kansas,,39.1,-94.58,0,0,Pre-Feasibility
Montana WFs,US,Montana,,46.65,-109.7,0,0,Pre-Feasibility
Colorado WFs,US,Colorado,,39.14,-105.71,0,0,Pre-Feasibility
West Virginia,US,West Virginia,,38.63,-80.55,0,0,Pre-Feasibility
Lusaka,Zambia,Zambia,,-15.39,28.32,1,0,Pre-Feasibility
